서울 2043 2043 1646 1403 809 792 992 1233 1284 891 
부산 1442 1479 1983 1130 1693 1397 1760 1014 1779 1623 
인천 1778 1725 1415 1187 788 652 864 1029 1134 919 
대전 1420 1943 1409 1120 1118 823 1228 1127 1542 984 
대구 1204 1430 1190 996 1072 908 1227 664 1298 996 
광주 1573 1300 1627 1245 1290 1050 1482 937 1428 1086 
